t,vEgo,aEgo,roll,targetLateralAcceleration,currentLateralAcceleration,steerCommand
20,20.0,0.0,0.0,0.0,0.0,-0.0
21,20.0,0.0,0.0,0.0,0.0,-0.0
22,20.0,0.0,0.0,0.0,0.0,-0.0
23,20.0,0.0,0.0,0.0,0.0,-0.0
24,20.0,0.0,0.0,0.0,0.0,-0.0
25,20.0,0.0,0.0,0.0,0.0,-0.0
26,20.0,0.0,0.0,0.0,0.0,-0.0
27,20.0,0.0,0.0,0.0,0.0,-0.0
28,20.0,0.0,0.0,0.0,0.0,-0.0
29,20.0,0.0,0.0,0.0,0.0,-0.0
30,20.0,0.0,0.0,0.0,0.0,-0.0
31,20.0,0.0,0.0,0.0,0.0,-0.0
32,20.0,0.0,0.0,0.0,0.0,-0.0
33,20.0,0.0,0.0,0.0,0.0,-0.0
34,20.0,0.0,0.0,0.0,0.0,-0.0
35,20.0,0.0,0.0,0.0,0.0,-0.0
36,20.0,0.0,0.0,0.0,0.0,-0.0
37,20.0,0.0,0.0,0.0,0.0,-0.0
38,20.0,0.0,0.0,0.0,0.0,-0.0
39,20.0,0.0,0.0,0.0,0.0,-0.0
40,20.0,0.0,0.0,0.0,0.0,-0.0
41,20.0,0.0,0.0,0.0,0.0,-0.0
42,20.0,0.0,0.0,0.0,0.0,-0.0
43,20.0,0.0,0.0,0.0,0.0,-0.0
44,20.0,0.0,0.0,0.0,0.0,-0.0
45,20.0,0.0,0.0,0.0,0.0,-0.0
46,20.0,0.0,0.0,0.0,0.0,-0.0
47,20.0,0.0,0.0,0.0,0.0,-0.0
48,20.0,0.0,0.0,0.0,0.0,-0.0
49,20.0,0.0,0.0,0.0,0.0,-0.0
50,20.0,0.0,0.0,0.0,0.0,-0.0
51,20.0,0.0,0.0,0.0,0.0,-0.0
52,20.0,0.0,0.0,0.0,0.0,-0.0
53,20.0,0.0,0.0,0.0,0.0,-0.0
54,20.0,0.0,0.0,0.0,0.0,-0.0
55,20.0,0.0,0.0,0.0,0.0,-0.0
56,20.0,0.0,0.0,0.0,0.0,-0.0
57,20.0,0.0,0.0,0.0,0.0,-0.0
58,20.0,0.0,0.0,0.0,0.0,-0.0
59,20.0,0.0,0.0,0.0,0.0,-0.0
60,20.0,0.0,0.0,0.0,0.0,-0.0
61,20.0,0.0,0.0,0.0,0.0,-0.0
62,20.0,0.0,0.0,0.0,0.0,-0.0
63,20.0,0.0,0.0,0.0,0.0,-0.0
64,20.0,0.0,0.0,0.0,0.0,-0.0
65,20.0,0.0,0.0,0.0,0.0,-0.0
66,20.0,0.0,0.0,0.0,0.0,-0.0
67,20.0,0.0,0.0,0.0,0.0,-0.0
68,20.0,0.0,0.0,0.0,0.0,-0.0
69,20.0,0.0,0.0,0.0,0.0,-0.0
70,20.0,0.0,0.0,0.0,0.0,-0.0
71,20.0,0.0,0.0,0.0,0.0,-0.0
72,20.0,0.0,0.0,0.0,0.0,-0.0
73,20.0,0.0,0.0,0.0,0.0,-0.0
74,20.0,0.0,0.0,0.0,0.0,-0.0
75,20.0,0.0,0.0,0.0,0.0,-0.0
76,20.0,0.0,0.0,0.0,0.0,-0.0
77,20.0,0.0,0.0,0.0,0.0,-0.0
78,20.0,0.0,0.0,0.0,0.0,-0.0
79,20.0,0.0,0.0,0.0,0.0,-0.0
80,20.0,0.0,0.0,0.0,0.0,-0.0
81,20.0,0.0,0.0,0.0,0.0,-0.0
82,20.0,0.0,0.0,0.0,0.0,-0.0
83,20.0,0.0,0.0,0.0,0.0,-0.0
84,20.0,0.0,0.0,0.0,0.0,-0.0
85,20.0,0.0,0.0,0.0,0.0,-0.0
86,20.0,0.0,0.0,0.0,0.0,-0.0
87,20.0,0.0,0.0,0.0,0.0,-0.0
88,20.0,0.0,0.0,0.0,0.0,-0.0
89,20.0,0.0,0.0,0.0,0.0,-0.0
90,20.0,0.0,0.0,0.0,0.0,-0.0
91,20.0,0.0,0.0,0.0,0.0,-0.0
92,20.0,0.0,0.0,0.0,0.0,-0.0
93,20.0,0.0,0.0,0.0,0.0,-0.0
94,20.0,0.0,0.0,0.0,0.0,-0.0
95,20.0,0.0,0.0,0.0,0.0,-0.0
96,20.0,0.0,0.0,0.0,0.0,-0.0
97,20.0,0.0,0.0,0.0,0.0,-0.0
98,20.0,0.0,0.0,0.0,0.0,-0.0
99,20.0,0.0,0.0,0.0,0.0,-0.0
100,20.0,0.0,0.0,0.0,0.004887585532746819,0.0
101,20.0,0.0,0.0036551336641824964,0.0,0.053763440860215006,-0.00118279569892473
102,20.0,0.0,0.007308615272440029,0.0,0.04398826979472137,-0.013758553274682296
103,20.0,0.0,0.010958793686709479,0.0,0.053763440860215006,-0.01935972629521015
104,20.0,0.0,0.014604019603479597,0.0,0.07331378299120228,-0.025606060606060584
105,20.0,0.0,0.018242646468139657,0.0,0.12218963831867047,-0.036231671554252165
106,20.0,0.0,0.021873031385825803,0.0,0.16129032258064502,-0.056427174975562024
107,20.0,0.0,0.025493536027615227,0.0,0.20039100684261957,-0.08069892473118273
108,20.0,0.0,0.029102527530930056,0.0,0.20039100684261957,-0.10836265884652971
109,20.0,0.0,0.03269837939303524,0.0,0.21994134897360684,-0.13047409579667632
110,20.0,0.0,0.03627947235653099,0.0,0.24926686217008776,-0.1552443792766372
111,20.0,0.0,0.03984419528576839,0.0,0.26881720430107503,-0.18537145650048859
112,20.0,0.0,0.04339094603314405,0.0,0.26881720430107503,-0.21658357771260978
113,20.0,0.0,0.04691813229425886,0.0,0.24926686217008776,-0.2445014662756596
114,20.0,0.0,0.05042417245096208,0.0,0.21994134897360684,-0.2666520039100682
115,20.0,0.0,0.05390749640133643,0.0,0.23949169110459412,-0.28344574780058623
116,20.0,0.0,0.05736654637572282,0.0,0.20039100684261957,-0.30861681329423235
117,20.0,0.0,0.060799777737920564,0.0,0.20039100684261957,-0.3241397849462363
118,20.0,0.0,0.06420565977074813,0.0,0.20039100684261957,-0.3421065493646136
119,20.0,0.0,0.06758267644519217,0.0,0.1808406647116323,-0.36214565004887556
120,20.0,0.0,0.07092932717242478,0.0,0.22971652003910048,-0.37745356793743856
121,20.0,0.0,0.07424412753801526,0.0,0.19061583577712593,-0.4063294232649068
122,20.0,0.0,0.07752561001771877,0.0,0.20039100684261957,-0.4224291300097748
123,20.0,0.0,0.08077232467427493,0.0,0.20039100684261957,-0.44178396871945225
124,20.0,0.0,0.08398283983470617,0.0,0.20039100684261957,-0.46234115347018534
125,20.0,0.0,0.0871557427476581,0.0,0.22971652003910048,-0.4823802541544473
126,20.0,0.0,0.09028964022038533,0.0,0.24926686217008776,-0.5095161290322576
127,20.0,0.0,0.0933831592350388,0.0,0.2101661779081132,-0.5387732160312801
128,20.0,0.0,0.09643494754397029,0.0,0.1808406647116323,-0.5552737047898333
129,20.0,0.0,0.0994436742438272,0.0,0.15151515151515138,-0.5671212121212117
130,20.0,0.0,0.10240803032826722,0.0,0.19061583577712593,-0.576554252199413
131,20.0,0.0,0.10532672921917947,0.0,0.17106549364613866,-0.5996138807429124
132,20.0,0.0,0.10819850727635685,0.0,0.16129032258064502,-0.6160166177908107
133,20.0,0.0,0.11102212428561777,0.0,0.17106549364613866,-0.6297214076246328
134,20.0,0.0,0.11379636392543192,0.0,0.17106549364613866,-0.6476979472140757
135,20.0,0.0,0.1165200342121576,0.0,0.1808406647116323,-0.6653225806451607
136,20.0,0.0,0.11919196792405067,0.0,0.20039100684261957,-0.6847947214076241
137,20.0,0.0,0.1218110230042559,0.0,0.17106549364613866,-0.7081280547409574
138,20.0,0.0,0.12437608294304049,0.0,0.16129032258064502,-0.7221065493646133
139,20.0,0.0,0.12688605713957582,0.0,0.11241446725317683,-0.7352932551319641
140,20.0,0.0,0.12933988124362034,0.0,0.11241446725317683,-0.7390762463343101
141,20.0,0.0,0.13173651747749787,0.0,0.11241446725317683,-0.747727272727272
142,20.0,0.0,0.13407495493880597,0.0,0.1319648093841641,-0.7589687194525897
143,20.0,0.0,0.13635420988432717,0.0,0.11241446725317683,-0.7749413489736064
144,20.0,0.0,0.13857332599565186,0.0,0.12218963831867047,-0.7844428152492661
145,20.0,0.0,0.14073137462705362,0.0,0.11241446725317683,-0.797013685239491
146,20.0,0.0,0.1428274550361862,0.0,0.1026392961876832,-0.8073851417399797
147,20.0,0.0,0.14486069459820033,0.0,0.09286412512218956,-0.8157429130009768
148,20.0,0.0,0.1468302490039002,0.0,0.1026392961876832,-0.8231231671554244
149,20.0,0.0,0.1487353024425815,0.0,0.12218963831867047,-0.8342570869990219
150,20.0,0.0,0.15057506777020974,0.0,0.1026392961876832,-0.8497702834799602
151,20.0,0.0,0.1523487866636106,0.0,0.09286412512218956,-0.8582942326490706
152,20.0,0.0,0.1540557297613577,0.0,0.06353861192570864,-0.8651564027370471
153,20.0,0.0,0.15569519679204843,0.0,0.07331378299120228,-0.8668279569892465
154,20.0,0.0,0.15726651669066463,0.0,0.03421309872922773,-0.8739931573802534
155,20.0,0.0,0.15876904770371464,0.0,0.03421309872922773,-0.8723802541544471
156,20.0,0.0,0.16020217748385465,0.0,0.03421309872922773,-0.8737292277614853
157,20.0,0.0,0.1615653231746759,0.0,0.04398826979472137,-0.8771505376344082
158,20.0,0.0,0.16285793148634348,0.0,0.06353861192570864,-0.8829374389051803
159,20.0,0.0,0.16407947876275733,0.0,0.053763440860215006,-0.8925855327468224
160,20.0,0.0,0.16522947104088845,0.0,0.04398826979472137,-0.8976099706744862
161,20.0,0.0,0.16630744410293552,0.0,0.06353861192570864,-0.900102639296187
162,20.0,0.0,0.1673129635219161,0.0,0.04398826979472137,-0.9087145650048868
163,20.0,0.0,0.16824562470129192,0.0,0.04398826979472137,-0.911373411534701
164,20.0,0.0,0.16910505290919842,0.0,0.024437927663734094,-0.9147360703812307
165,20.0,0.0,0.1698909033078225,0.0,-0.004887585532746819,-0.9144037145650038
166,20.0,0.0,0.1706028609784397,0.0,0.004887585532746819,-0.9087145650048867
167,20.0,0.0,0.17124064094259445,0.0,0.024437927663734094,-0.9090371456500479
168,20.0,0.0,0.17180398817986567,0.0,-0.004887585532746819,-0.9147751710654926
169,20.0,0.0,0.1722926776426304,0.0,0.014662756598240456,-0.91115835777126
170,20.0,0.0,0.17270651426819425,0.0,0.014662756598240456,-0.9138465298142708
171,20.0,0.0,0.17304533298862193,0.0,0.03421309872922773,-0.9163489736070373
172,20.0,0.0,0.1733089987385563,0.0,0.004887585532746819,-0.9225464320625604
173,20.0,0.0,0.17349740646127482,0.0,-0.014662756598240456,-0.919907135874877
174,20.0,0.0,0.17361048111318667,0.0,0.004887585532746819,-0.9141104594330391
175,20.0,0.0,0.17364817766693028,0.0,0.004887585532746819,-0.9163391984359717
176,20.0,0.0,0.17361048111318667,0.0,-0.014662756598240456,-0.9178641251221885
177,20.0,0.0,0.17349740646127482,0.0,-0.03421309872922773,-0.9136217008797641
178,20.0,0.0,0.1733089987385563,0.0,-0.053763440860215006,-0.9063880742912988
179,20.0,0.0,0.17304533298862193,0.0,-0.04398826979472137,-0.8971994134897346
180,20.0,0.0,0.17270651426819425,0.0,-0.06353861192570864,-0.8931524926686205
181,20.0,0.0,0.1722926776426304,0.0,-0.06353861192570864,-0.8845405669599206
182,20.0,0.0,0.17180398817986567,0.0,-0.053763440860215006,-0.8771505376344075
183,20.0,0.0,0.17124064094259445,0.0,0.004887585532746819,-0.873162267839686
184,20.0,0.0,0.1706028609784397,0.0,0.004887585532746819,-0.8824975562072325
185,20.0,0.0,0.1698909033078225,0.0,-0.06353861192570864,-0.886094819159334
186,20.0,0.0,0.16910505290919842,0.0,-0.09286412512218956,-0.8700244379276626
187,20.0,0.0,0.16824562470129192,0.0,-0.1026392961876832,-0.8529472140762451
188,20.0,0.0,0.1673129635219161,0.0,-0.09286412512218956,-0.8397409579667632
189,20.0,0.0,0.16630744410293552,0.0,-0.09286412512218956,-0.8313245356793731
190,20.0,0.0,0.16522947104088845,0.0,-0.07331378299120228,-0.8225562072336252
191,20.0,0.0,0.16407947876275733,0.0,-0.053763440860215006,-0.8180009775171051
192,20.0,0.0,0.1628579314863436,0.0,-0.053763440860215006,-0.816436950146626
193,20.0,0.0,0.16156532317467578,0.0,-0.08308895405669592,-0.8120967741935468
194,20.0,0.0,0.16020217748385476,0.0,-0.09286412512218956,-0.7996236559139769
195,20.0,0.0,0.15876904770371475,0.0,-0.1026392961876832,-0.7873949169110444
196,20.0,0.0,0.15726651669066452,0.0,-0.07331378299120228,-0.7752248289345047
197,20.0,0.0,0.15569519679204843,0.0,-0.06353861192570864,-0.7715395894428136
198,20.0,0.0,0.1540557297613577,0.0,-0.06353861192570864,-0.7681280547409565
199,20.0,0.0,0.1523487866636106,0.0,-0.08308895405669592,-0.7622922776148567
200,20.0,0.0,0.15057506777020974,0.0,-0.08308895405669592,-0.7512072336265868
201,20.0,0.0,0.1487353024425815,0.0,-0.07331378299120228,-0.741862170087975
202,20.0,0.0,0.1468302490039002,0.0,-0.04398826979472137,-0.7359188660801549
203,20.0,0.0,0.14486069459820033,0.0,-0.04398826979472137,-0.7362023460410542
204,20.0,0.0,0.14282745503618632,0.0,0.024437927663734094,-0.7333577712609956
205,20.0,0.0,0.14073137462705362,0.0,0.004887585532746819,-0.7455180840664696
206,20.0,0.0,0.13857332599565186,0.0,-0.07331378299120228,-0.7468572825024422
207,20.0,0.0,0.13635420988432717,0.0,-0.08308895405669592,-0.7273851417399789
208,20.0,0.0,0.13407495493880597,0.0,-0.09286412512218956,-0.7135434995112399
209,20.0,0.0,0.13173651747749796,0.0,-0.08308895405669592,-0.7023509286412497
210,20.0,0.0,0.12933988124362034,0.0,-0.08308895405669592,-0.694912023460409
211,20.0,0.0,0.12688605713957582,0.0,-0.024437927663734094,-0.6871212121212106
212,20.0,0.0,0.12437608294304049,0.0,-0.03421309872922773,-0.6930058651026378
213,20.0,0.0,0.1218110230042559,0.0,-0.03421309872922773,-0.6913049853372418
214,20.0,0.0,0.11919196792405057,0.0,-0.03421309872922773,-0.6873655913978479
215,20.0,0.0,0.1165200342121576,0.0,-0.06353861192570864,-0.6839442815249251
216,20.0,0.0,0.113796363925432,0.0,-0.08308895405669592,-0.6734261974584541
217,20.0,0.0,0.11102212428561786,0.0,-0.09286412512218956,-0.6607869012707707
218,20.0,0.0,0.10819850727635685,0.0,-0.09286412512218956,-0.6490762463343094
219,20.0,0.0,0.10532672921917947,0.0,-0.07331378299120228,-0.6392717497556193
220,20.0,0.0,0.10240803032826722,0.0,-0.1319648093841641,-0.6347165200390993
221,20.0,0.0,0.0994436742438272,0.0,-0.15151515151515138,-0.6142277614858245
222,20.0,0.0,0.09643494754397029,0.0,-0.17106549364613866,-0.5931915933528822
223,20.0,0.0,0.0933831592350387,0.0,-0.21994134897360684,-0.5722727272727258
224,20.0,0.0,0.09028964022038533,0.0,-0.21994134897360684,-0.5423020527859223
225,20.0,0.0,0.0871557427476581,0.0,-0.2101661779081132,-0.5177174975562058
226,20.0,0.0,0.08398283983470627,0.0,-0.21994134897360684,-0.49808895405669457
227,20.0,0.0,0.08077232467427503,0.0,-0.20039100684261957,-0.4752248289345049
228,20.0,0.0,0.07752561001771877,0.0,-0.20039100684261957,-0.45744379276637204
229,20.0,0.0,0.07424412753801526,0.0,-0.2101661779081132,-0.4384408602150524
230,20.0,0.0,0.07092932717242478,0.0,-0.21994134897360684,-0.416036168132941
231,20.0,0.0,0.06758267644519227,0.0,-0.23949169110459412,-0.39213587487780904
232,20.0,0.0,0.06420565977074813,0.0,-0.21994134897360684,-0.3648924731182783
233,20.0,0.0,0.06079977773792067,0.0,-0.22971652003910048,-0.3446383186705755
234,20.0,0.0,0.05736654637572282,0.0,-0.24926686217008776,-0.32131476050830765
