t,vEgo,aEgo,roll,rollLateralAcceleration,targetLateralAcceleration,currentLateralAcceleration,steerCommand
20,30.992596285244705,0.0616974032850674,0.0115351898775597,0.11315770318781965,0.095102522168247,0.095102522168247,-0.1220674816832109
21,30.991675968161157,-0.0007074223989177,0.0116188106674904,0.11397796816493043,0.0983624419946357,0.0983624419946357,-0.1466454592710782
22,30.982461438029585,-0.05258251823209,0.0117410211683492,0.11517677140233086,0.0858720453964784,0.0858720453964784,-0.1467110448154548
23,30.988471242626712,0.0232900969674068,0.011863231669208,0.11637557291951939,0.0618644907491919,0.0618644907491919,-0.1466610085222923
24,30.99827292699772,0.0770588712347532,0.0121437822803848,0.11912757613417177,0.0190731225284823,0.0190731225284823,-0.1446358023870773
25,31.008404624265008,0.0598433985687293,0.0125087564731498,0.12270770095154204,0.0224682225884505,0.0224682225884505,-0.1605288651312333
26,31.019100632321607,0.0902474546312705,0.0127255567498747,0.12483434237798692,0.0246206341298221,0.0246206341298221,-0.1753331331081792
27,31.0079522206109,-0.0351713898433693,0.0121570141662803,0.1192573713532409,0.0228712887765152,0.0228712887765152,-0.1728029659368974
28,31.007012671696643,-0.0283494587804751,0.011588471582686,0.11368036177966435,-0.0122316847645031,-0.0122316847645031,-0.1782952639738509
29,31.01951452689731,0.1077237000206697,0.0114986267915109,0.11279904310120502,-0.0408115716022776,-0.0408115716022776,-0.1873376754599519
30,31.03507162561734,0.1432896802508165,0.0116603966583454,0.11438589910031088,-0.034614235139707,-0.034614235139707,-0.1889835810045541
31,31.06352659938841,0.2012906916245752,0.0120857099469789,0.11855792834886562,-0.0409275402936223,-0.0409275402936223,-0.1871879787298422
32,31.073464655030005,0.1431843533884767,0.0140175621804675,0.13750778168951172,-0.0390039894543332,-0.0390039894543332,-0.1972011267161614
33,31.067018438624903,-0.0019143306197097,0.015949414413956,0.15645712184398014,-0.0230915961908721,-0.0230915961908721,-0.216002389296906
34,31.049881824399083,-0.121673811952743,0.0166350688188142,0.16318249874275867,-0.0128577149673521,-0.0128577149673521,-0.2143310284905684
35,31.02948420314207,-0.1759327866456616,0.0164886214046286,0.16174604663900904,-0.0329258782483292,-0.0329258782483292,-0.2208818930248739
36,31.03426093935011,-0.0112557063224447,0.0165609548171952,0.16245554053484945,-0.0676999902483454,-0.0676999902483454,-0.2172691757969019
37,31.036554047609144,-0.007873151876904,0.0178206283995433,0.1748111116561592,-0.0522070196571055,-0.0522070196571055,-0.2128992670628268
38,31.05470992280656,0.1008997279467566,0.0190803019818915,0.18716640539116192,-0.0524174748301746,-0.0524174748301746,-0.2141729975919905
