v_min,v_max,v_mid,n_points,gain,r2
0,1,0.5,629,1.3195374553780663,0.7314494692472805
1,2,1.5,418,0.9584554536107822,0.8027609624646698
2,3,2.5,542,1.0930678711895574,0.8942310409833114
3,4,3.5,530,1.266561225527236,0.9235086953429414
4,5,4.5,497,1.5301271201339302,0.958906973790598
5,6,5.5,496,1.6735691735089684,0.954379001762414
6,7,6.5,446,3.39836648866084,0.03623658141617525
7,8,7.5,507,1.878502414334133,0.9360707380049449
8,9,8.5,575,1.724392848198677,0.8553053012553067
9,10,9.5,582,1.329288598683066,0.9018413921386836
10,11,10.5,643,1.2864938145624074,0.8420373380777977
11,12,11.5,448,5.1780576034242225,0.7934430413700224
12,13,12.5,583,1.6713600213783526,0.8704502242243095
13,14,13.5,605,1.7871630343807299,0.8909446523028903
14,15,14.5,934,1.3980209070541676,0.8692463490687125
15,16,15.5,572,1.0628711332215814,0.736396267150017
16,17,16.5,754,1.1640633926460993,0.9020345877361817
17,18,17.5,549,1.6032055688547586,0.8049436631229516
18,19,18.5,714,1.688316046501963,0.9311621286554896
19,20,19.5,584,1.4756816146080833,0.86896250466319
20,21,20.5,498,1.0030054584436516,0.767307088361674
21,22,21.5,510,1.1825564611871389,0.8318695445816864
22,23,22.5,448,1.3544718994782603,0.6425824911255358
23,24,23.5,507,1.2997939187682335,0.7300571797882092
24,25,24.5,626,1.1207972857840036,0.6960331744728085
25,26,25.5,605,1.592147355295332,0.7830275183451361
26,27,26.5,381,1.6042889162039171,0.8566332797824319
27,28,27.5,397,1.781528551311379,-0.009658333587808432
28,29,28.5,509,1.612790976205232,0.7231395839939394
29,30,29.5,407,1.5739186591252448,0.8971197252382983
30,31,30.5,868,1.5887523183191679,0.8733761168593893
31,32,31.5,391,1.1459194340283987,0.7601114190424993
32,33,32.5,562,1.6500640787079814,0.7656794245971574
33,34,33.5,504,1.8988366898236864,0.7935575367304615
34,35,34.5,506,1.7309607570256555,0.8627486766671089
35,36,35.5,534,1.9452213289317781,0.9412581305451366
36,37,36.5,571,1.346966055278318,0.8549862471884366
37,38,37.5,614,2.450120968790864,0.9513900326345923
38,39,38.5,400,1.6916348554293112,0.7433737226230022
39,40,39.5,396,2.4307727244733823,0.9534023683183304
40,41,40.5,79,2.5671190725932833,0.9920003416032322
