v_min,v_max,v_mid,n_points,gain,r2
0,2,1.0,157,0.4768071349328526,0.6292232553322077
2,4,3.0,402,0.9550218963884995,0.24038473077956357
6,8,7.0,291,1.810231690005758,0.6346006093129285
8,10,9.0,583,1.5142948037152162,0.9319905867947595
10,12,11.0,648,1.1314507628567636,0.6967702237452986
12,14,13.0,390,1.4380578084804667,0.900431843059408
14,16,15.0,472,1.8835187989056232,0.9278844625354077
16,18,17.0,392,1.1187707717567004,0.6024527506278328
18,20,19.0,450,1.5093489062603052,0.8581740358012793
20,22,21.0,366,0.761501600616681,0.48751732452393925
22,24,23.0,379,0.836163422339841,0.5324293613638496
24,26,25.0,334,1.3736983525242417,0.8133193746486631
26,28,27.0,393,1.0246205295118818,0.8044729014459425
28,30,29.0,184,1.3719076259037641,0.850299815190081
30,32,31.0,706,1.4621203135005354,0.7472195636020851
32,34,33.0,473,1.71870815720198,0.921352808212462
34,36,35.0,359,1.8197584350314167,0.8852013551514011
36,38,37.0,750,2.414879359300689,0.6859431222883297
38,40,39.0,142,2.1863887193187037,0.8116501396813066
